Rank_2018,City,State,Est_Census_2018,Landarea_2016,Pop_Density_2016,Latitude,Longitude,Census_1880,Census_1890,Census_1900,Census_1910,Census_1920,Census_1930,Census_1940,Census_1950,Census_1960,Census_1970,Census_1980,Census_1990,Census_2000,Census_2010,Census_2017
1, New York City,  New York,8398748,780.9,10933,40.6635,-73.9387,1911698.0,2507414.0,3437202.0,4766883.0,5620048.0,6930446.0,7454995.0,7891957.0,7781984.0,7894862.0,7071639.0,7322564.0,8008278.0,8175133.0,
2, Los Angeles,  California,3990456,1213.9,3276,34.0194,-118.4108,11183.0,50395.0,102479.0,319198.0,576673.0,1238048.0,1504277.0,1970358.0,2479015.0,2811801.0,2968528.0,3485398.0,3694820.0,3792621.0,
3, Chicago,  Illinois,2705994,588.7,4600,41.8376,-87.6818,503185.0,1099850.0,1698575.0,2185283.0,2701705.0,3376438.0,3396808.0,3620962.0,3550404.0,3366957.0,3005072.0,2783726.0,2896016.0,2695598.0,
4, Houston,  Texas,2325502,1651.1,1395,29.7866,-95.3909,16513.0,27557.0,44633.0,78800.0,138276.0,292352.0,384514.0,596163.0,938219.0,1232802.0,1595138.0,1630553.0,1953631.0,2100263.0,2312717.0
5, Phoenix,  Arizona,1660272,1340.6,1200,33.5722,-112.0901,1708.0,3152.0,5544.0,11314.0,29053.0,48118.0,65414.0,106818.0,439170.0,581572.0,789704.0,983403.0,1321045.0,1445632.0,
6, Philadelphia,  Pennsylvania,1584138,347.6,4511,40.0094,-75.1333,847170.0,1046964.0,1293697.0,1549008.0,1823779.0,1950961.0,1931334.0,2071605.0,2002512.0,1948609.0,1688210.0,1585577.0,1517550.0,1526006.0,
7, San Antonio,  Texas,1532233,1194.0,1250,29.4724,-98.5251,20550.0,37673.0,53321.0,96614.0,161379.0,231542.0,253854.0,408442.0,587718.0,654153.0,785940.0,935933.0,1144646.0,1327407.0,1511946.0
8, San Diego,  California,1425976,842.3,1670,32.8153,-117.1350,2637.0,16159.0,17700.0,39578.0,74361.0,147995.0,203341.0,334387.0,573224.0,696769.0,875538.0,1110549.0,1223400.0,1307402.0,1419516.0
9, Dallas,  Texas,1345047,882.9,1493,32.7933,-96.7665,10358.0,38069.0,42639.0,92104.0,158976.0,269475.0,294734.0,434462.0,679684.0,844401.0,904078.0,1006977.0,1188580.0,1197816.0,1341075.0
10, San Jose,  California,1030119,459.7,2231,37.2967,-121.8189,12567.0,18060.0,21500.0,28946.0,39642.0,57651.0,68457.0,95280.0,204196.0,459913.0,629400.0,782248.0,894943.0,945942.0,
11, Austin,  Texas,964254,809.9,1170,30.3039,-97.7544,11013.0,14575.0,22258.0,29860.0,34876.0,53120.0,87930.0,132459.0,186545.0,253539.0,345890.0,465622.0,656562.0,790390.0,
12, Jacksonville,  Florida,903889,1935.8,455,30.3369,-81.6616,7650.0,17201.0,28429.0,57699.0,91558.0,129549.0,173065.0,204275.0,201030.0,528865.0,540920.0,635230.0,735503.0,821784.0,892062.0
13, Fort Worth,  Texas,895008,888.1,962,32.7815,-97.3467,6663.0,23076.0,26668.0,73312.0,106482.0,163447.0,177662.0,278778.0,356268.0,393476.0,385164.0,447619.0,534697.0,741206.0,874168.0
14, Columbus,  Ohio,892533,565.9,1520,39.9852,-82.9848,51647.0,88150.0,125560.0,181511.0,237031.0,290564.0,306087.0,375901.0,471316.0,539677.0,564871.0,632910.0,711470.0,787033.0,
15, San Francisco,  California,883305,121.5,7170,37.7272,-123.0322,233959.0,298997.0,342782.0,416912.0,506676.0,634394.0,634536.0,775357.0,740316.0,715674.0,678974.0,723959.0,776733.0,805235.0,
16, Charlotte,  North Carolina,872498,791.0,1064,35.2078,-80.8310,7094.0,11557.0,18091.0,34014.0,46338.0,82675.0,100899.0,134042.0,201564.0,241420.0,315474.0,395934.0,540828.0,731424.0,859035.0
17, Indianapolis,  Indiana,867125,936.3,914,39.7767,-86.1459,75056.0,105436.0,169164.0,233650.0,314194.0,364161.0,386972.0,427173.0,476258.0,744624.0,700807.0,731327.0,781926.0,820445.0,863002.0
18, Seattle,  Washington,744955,217.0,3245,47.6205,-122.3509,3533.0,42837.0,80671.0,237194.0,315312.0,365583.0,368302.0,467591.0,557087.0,530831.0,493846.0,516259.0,563374.0,608660.0,
19, Denver,  Colorado,716492,397.0,1746,39.7619,-104.8811,35629.0,106713.0,133859.0,213381.0,256491.0,287861.0,322412.0,415765.0,493887.0,514678.0,492686.0,467610.0,554636.0,600158.0,
20, Washington D.C.,  District of Columbia,702455,158.2,4304,38.9041,-77.0172,177624.0,230392.0,278718.0,331069.0,437571.0,486869.0,663091.0,802178.0,763956.0,756510.0,638333.0,606900.0,572059.0,601723.0,
21, Boston,  Massachusetts,694583,125.1,5381,42.3320,-71.0202,362839.0,448477.0,560892.0,670585.0,748060.0,781188.0,770816.0,801444.0,697197.0,641071.0,562994.0,574283.0,589141.0,617594.0,
22, El Paso,  Texas,682669,665.1,1030,31.8484,-106.4270,736.0,10338.0,15906.0,39279.0,77560.0,102421.0,96810.0,130485.0,276687.0,339615.0,425259.0,515342.0,563662.0,649121.0,
23, Detroit,  Michigan,672662,359.5,1871,42.3830,-83.1022,116340.0,205876.0,285704.0,465766.0,993678.0,1568662.0,1623452.0,1849568.0,1670144.0,1514063.0,1203368.0,1027974.0,951270.0,713777.0,
24, Nashville,  Tennessee,669053,1232.6,536,36.1718,-86.7850,43350.0,76168.0,80865.0,110364.0,118342.0,153866.0,167402.0,174307.0,170874.0,448003.0,477811.0,510784.0,569891.0,626681.0,691243.0
25, Portland,  Oregon,653115,345.8,1851,45.5370,-122.6500,17577.0,46385.0,90426.0,207214.0,258288.0,301815.0,305394.0,373628.0,372676.0,382619.0,366383.0,437319.0,529121.0,583776.0,
26, Memphis,  Tennessee,650618,822.1,794,35.1028,-89.9774,33592.0,64495.0,102320.0,131105.0,162351.0,253143.0,292942.0,396000.0,497524.0,623988.0,646174.0,610337.0,650100.0,646889.0,
27, Oklahoma City,  Oklahoma,649021,1570.3,407,35.4671,-97.5137,,4151.0,10037.0,64205.0,91295.0,185389.0,204424.0,243504.0,324253.0,368164.0,404014.0,444719.0,506132.0,579999.0,
28, Las Vegas,  Nevada,644644,348.1,1818,36.2292,-115.2601,,,25.0,800.0,2304.0,5165.0,8422.0,24624.0,64405.0,125787.0,164674.0,258295.0,478434.0,583756.0,648224.0
29, Louisville,  Kentucky,620118,682.5,903,38.1654,-85.6474,123758.0,161129.0,204731.0,223928.0,234891.0,307745.0,319077.0,369129.0,390639.0,361706.0,298694.0,269063.0,256231.0,597337.0,621349.0
30, Baltimore,  Maryland,602495,209.5,2934,39.3000,-76.6105,332313.0,434439.0,508957.0,558485.0,733826.0,804874.0,859100.0,949708.0,939024.0,905787.0,786741.0,736016.0,651154.0,620961.0,
31, Milwaukee,  Wisconsin,592025,249.2,2388,43.0633,-87.9667,115587.0,204468.0,285315.0,373857.0,457147.0,578249.0,587472.0,637392.0,741324.0,717099.0,636212.0,628088.0,596974.0,594833.0,595351.0
32, Albuquerque,  New Mexico,560218,487.4,1147,35.1056,-106.6474,2315.0,3785.0,6238.0,11020.0,15157.0,26570.0,35449.0,96815.0,201189.0,244501.0,332920.0,384736.0,448607.0,545852.0,558545.0
33, Tucson,  Arizona,545975,597.8,888,32.1531,-110.8706,7007.0,5150.0,7531.0,13193.0,20292.0,32506.0,35752.0,45454.0,212892.0,262933.0,330537.0,405371.0,486699.0,520116.0,535677.0
34, Fresno,  California,530093,296.3,1762,36.7836,-119.7934,1112.0,10818.0,12470.0,24892.0,45086.0,52513.0,60685.0,91669.0,133929.0,165655.0,217491.0,354202.0,427652.0,494665.0,527438.0
35, Mesa,  Arizona,508958,357.2,1357,33.4019,-111.7174,,,722.0,1692.0,3036.0,3711.0,7224.0,16790.0,33772.0,63049.0,152404.0,288104.0,396375.0,439041.0,
36, Sacramento,  California,508529,253.6,1953,38.5666,-121.4686,21420.0,26386.0,29282.0,44696.0,65908.0,93750.0,105958.0,137572.0,191667.0,257105.0,275741.0,369365.0,407018.0,466488.0,
37, Atlanta,  Georgia,498044,345.8,1366,33.7629,-84.4227,37409.0,65533.0,89872.0,154839.0,200616.0,270366.0,302288.0,331314.0,487455.0,495039.0,425022.0,394017.0,416474.0,420003.0,486290.0
38, Kansas City,  Missouri,491918,815.8,590,39.1251,-94.5510,55785.0,132716.0,163752.0,248381.0,324410.0,399746.0,400178.0,456622.0,475539.0,507087.0,448159.0,435146.0,441545.0,459787.0,
39, Colorado Springs,  Colorado,472688,506.6,918,38.8673,-104.7607,4226.0,11140.0,21085.0,29078.0,30105.0,33237.0,36789.0,45472.0,70194.0,135517.0,215105.0,281140.0,360890.0,416427.0,464474.0
40, Miami,  Florida,470914,93.2,4865,25.7752,-80.2086,,,1681.0,5471.0,29571.0,110637.0,172172.0,249276.0,291688.0,334859.0,346681.0,358548.0,362470.0,399457.0,
41, Raleigh,  North Carolina,469298,375.8,1221,35.8306,-78.6418,9265.0,12678.0,13643.0,19218.0,24418.0,37379.0,46879.0,65679.0,93931.0,122830.0,150255.0,212092.0,276093.0,403892.0,
42, Omaha,  Nebraska,468262,345.0,1296,41.2644,-96.0451,30518.0,140452.0,102555.0,124096.0,191061.0,214006.0,223844.0,251117.0,301598.0,346929.0,313939.0,335795.0,390007.0,408958.0,466893.0
43, Long Beach,  California,467354,130.3,3609,33.8092,-118.1553,,564.0,2252.0,17809.0,55593.0,142032.0,164271.0,250767.0,334168.0,358879.0,361498.0,429433.0,461522.0,462257.0,469450.0
44, Virginia Beach,  Virginia,450189,633.8,710,36.7800,-76.0252,9394.0,9510.0,11192.0,11526.0,13626.0,16282.0,19984.0,42277.0,77127.0,,,,,,
45, Oakland,  California,429082,144.8,2901,37.7698,-122.2257,34555.0,48682.0,66960.0,150174.0,216261.0,284063.0,302163.0,384575.0,367548.0,361561.0,339337.0,372242.0,399484.0,390724.0,
46, Minneapolis,  Minnesota,425403,139.9,2960,44.9633,-93.2683,46887.0,164738.0,202718.0,301408.0,380582.0,464356.0,492370.0,521718.0,482872.0,434400.0,370951.0,368383.0,382618.0,382578.0,
47, Tulsa,  Oklahoma,400669,509.7,791,36.1279,-95.9023,,,1390.0,18182.0,72075.0,141258.0,142157.0,182740.0,261685.0,331638.0,360919.0,367302.0,393049.0,391906.0,
48, Arlington,  Texas,398112,248.1,1600,32.7007,-97.1247,163.0,664.0,1079.0,1794.0,3031.0,3661.0,4240.0,7692.0,44775.0,90643.0,160113.0,261721.0,332969.0,365438.0,396394.0
49, Tampa,  Florida,392890,293.7,1284,27.9701,-82.4797,720.0,5532.0,15839.0,37782.0,51608.0,101161.0,108391.0,124681.0,274970.0,277714.0,271523.0,280015.0,303447.0,335709.0,385430.0
50, New Orleans,  Louisiana,391006,438.7,892,30.0534,-89.9345,216090.0,242039.0,287104.0,339075.0,387219.0,458762.0,494537.0,570445.0,627525.0,593471.0,557515.0,496938.0,484674.0,343829.0,393292.0
51, Wichita,  Kansas,389255,415.4,939,37.6907,-97.3459,4911.0,23853.0,24671.0,52450.0,72217.0,111110.0,114966.0,168279.0,254698.0,276554.0,279272.0,304011.0,344284.0,382368.0,
52, Cleveland,  Ohio,383793,201.2,1917,41.4785,-81.6794,160146.0,261353.0,381768.0,560663.0,796841.0,900429.0,878336.0,914808.0,876050.0,750903.0,573822.0,505616.0,478403.0,396815.0,385525.0
53, Bakersfield,  California,383579,385.4,976,35.3212,-119.0183,801.0,2626.0,4836.0,12727.0,18638.0,26015.0,29252.0,34784.0,56848.0,69515.0,105611.0,174820.0,247057.0,347483.0,
54, Aurora,  Colorado,374114,397.6,910,39.6880,-104.6897,,,202.0,679.0,983.0,2295.0,3437.0,11421.0,48548.0,74974.0,158588.0,222103.0,276393.0,325078.0,366623.0
55, Anaheim,  California,352005,129.5,2711,33.8555,-117.7601,833.0,1273.0,1456.0,2628.0,5526.0,10995.0,11031.0,14556.0,104184.0,166408.0,219494.0,266406.0,328014.0,336265.0,
56, Honolulu,  Hawaii,347397,156.7,2245,21.3243,-157.8476,,22907.0,39306.0,52183.0,83327.0,137582.0,179326.0,248034.0,294194.0,324871.0,365048.0,365272.0,371657.0,390738.0,
57, Santa Ana,  California,332725,70.2,4762,33.7363,-117.8830,711.0,3628.0,4933.0,8429.0,15485.0,30322.0,31921.0,45533.0,100350.0,155710.0,204023.0,293742.0,337977.0,324528.0,334136.0
58, Riverside,  California,330063,210.3,1544,33.9381,-117.3932,,4683.0,7973.0,15212.0,19341.0,29696.0,34696.0,46764.0,84332.0,140089.0,170591.0,226505.0,255166.0,303871.0,327728.0
59, Corpus Christi,  Texas,326554,452.2,720,27.7543,-97.1734,3257.0,4387.0,4703.0,8222.0,10522.0,27741.0,57301.0,108287.0,167690.0,204525.0,231999.0,257453.0,277454.0,305215.0,325605.0
60, Lexington,  Kentucky,323780,734.5,434,38.0407,-84.4583,16656.0,21567.0,26369.0,35099.0,41534.0,45736.0,49304.0,55534.0,62810.0,108137.0,204165.0,225366.0,260512.0,295803.0,
61, Stockton,  California,311178,159.8,1922,37.9763,-121.3133,10282.0,14424.0,17506.0,23253.0,40296.0,47963.0,54714.0,70853.0,86321.0,109963.0,148283.0,210943.0,243771.0,291707.0,310496.0
62, Henderson,  Nevada,310390,271.2,1080,36.0097,-115.0357,,,,,,,,3643.0,12525.0,16395.0,24363.0,64942.0,175381.0,257729.0,307928.0
63, Saint Paul,  Minnesota,307695,134.7,2245,44.9489,-93.1041,41473.0,133156.0,163065.0,214744.0,234698.0,271606.0,287736.0,311349.0,313411.0,309980.0,270230.0,272235.0,287151.0,285068.0,306621.0
64, St. Louis,  Missouri,302838,160.6,1939,38.6357,-90.2446,350518.0,451770.0,575238.0,687029.0,772897.0,821960.0,816048.0,856796.0,750026.0,622236.0,453805.0,396685.0,348189.0,319294.0,308626.0
65, Cincinnati,  Ohio,302605,200.5,1490,39.1402,-84.5058,255139.0,296908.0,325902.0,363591.0,401247.0,451160.0,455610.0,503998.0,502550.0,452525.0,385460.0,364040.0,331285.0,296945.0,302605.0
66, Pittsburgh,  Pennsylvania,301048,143.5,2116,40.4398,-79.9766,156389.0,238617.0,321616.0,533905.0,588343.0,669817.0,671659.0,676806.0,604332.0,520117.0,423938.0,369879.0,334563.0,305704.0,
67, Greensboro,  North Carolina,294722,332.3,864,36.0951,-79.8270,2105.0,3317.0,10035.0,15895.0,19861.0,53569.0,59319.0,74389.0,119574.0,144076.0,155642.0,183894.0,223891.0,269666.0,290222.0
68, Anchorage,  Alaska,291538,4420.1,68,61.1743,-149.2843,,,,,1856.0,2277.0,3495.0,11254.0,44397.0,48081.0,174431.0,226338.0,260283.0,291826.0,
69, Plano,  Texas,288061,185.7,1540,33.0508,-96.7479,556.0,842.0,1304.0,1258.0,1715.0,1554.0,1582.0,2126.0,3695.0,17872.0,72331.0,128713.0,222030.0,259841.0,286143.0
70, Lincoln,  Nebraska,287401,238.5,1175,40.8105,-96.6803,13003.0,55164.0,40169.0,43973.0,54948.0,75933.0,81984.0,98884.0,128521.0,149518.0,171932.0,191972.0,225581.0,258379.0,
71, Orlando,  Florida,285713,272.5,1017,28.4166,-81.2736,,2856.0,2481.0,3894.0,9282.0,27330.0,36736.0,52367.0,88135.0,99006.0,128251.0,164693.0,185951.0,238300.0,280257.0
72, Irvine,  California,282572,169.9,1566,33.6784,-117.7713,,,,,,,,,,10081.0,62127.0,110330.0,143072.0,212375.0,277453.0
73, Newark,  New Jersey,282090,62.4,4514,40.7242,-74.1726,136508.0,181830.0,246070.0,347469.0,414524.0,442337.0,429760.0,438776.0,405220.0,381930.0,329248.0,275221.0,273546.0,277140.0,
74, Toledo,  Ohio,274975,209.0,1332,41.6641,-83.5819,50137.0,81434.0,131822.0,168497.0,243164.0,290718.0,282349.0,303616.0,318003.0,383818.0,354635.0,332943.0,313619.0,287208.0,276491.0
75, Durham,  North Carolina,274291,284.4,925,35.9811,-78.9029,2041.0,5485.0,6679.0,18241.0,21719.0,52037.0,60195.0,71311.0,78302.0,95438.0,101149.0,136611.0,187035.0,228330.0,267743.0
76, Chula Vista,  California,271651,128.5,2080,32.6277,-117.0152,,,,,1718.0,3869.0,5138.0,15927.0,42034.0,67901.0,83927.0,135163.0,173556.0,243916.0,270471.0
77, Fort Wayne,  Indiana,267633,286.5,923,41.0882,-85.1439,26880.0,35393.0,45115.0,63933.0,86549.0,114946.0,118410.0,133607.0,161776.0,178269.0,172196.0,173072.0,205727.0,253691.0,265904.0
78, Jersey City,  New Jersey,265549,38.3,6891,40.7114,-74.0648,120722.0,163003.0,206433.0,267779.0,298103.0,316715.0,301173.0,299017.0,276101.0,260350.0,223532.0,228537.0,240055.0,247597.0,
79, St. Petersburg,  Florida,265098,160.1,1631,27.7620,-82.6441,,273.0,1575.0,4127.0,14237.0,40425.0,60812.0,96738.0,181298.0,216159.0,238647.0,238629.0,248232.0,244769.0,263255.0
80, Laredo,  Texas,261639,261.8,982,27.5604,-99.4892,3521.0,11319.0,13429.0,14855.0,22710.0,32618.0,39274.0,51910.0,60678.0,69678.0,91449.0,122899.0,176576.0,236091.0,260654.0
81, Madison,  Wisconsin,258054,199.4,1270,43.0878,-89.4299,10324.0,13426.0,19164.0,25531.0,38378.0,57899.0,67447.0,96056.0,126706.0,171809.0,170616.0,191262.0,208054.0,233209.0,255214.0
82, Chandler,  Arizona,257165,168.1,1472,33.2829,-111.8549,,,,,,1378.0,1239.0,3799.0,9531.0,13763.0,29673.0,89862.0,176581.0,236123.0,253458.0
83, Buffalo,  New York,256304,104.6,2455,42.8925,-78.8597,155134.0,255664.0,352387.0,423715.0,506775.0,573076.0,575901.0,580132.0,532759.0,462768.0,357870.0,328123.0,292648.0,261310.0,258612.0
84, Lubbock,  Texas,255885,322.7,783,33.5656,-101.8867,,,,1938.0,4051.0,20520.0,31853.0,71747.0,128691.0,149101.0,173979.0,186206.0,199564.0,229573.0,253888.0
85, Scottsdale,  Arizona,255310,476.3,518,33.6843,-111.8611,,,,,1047.0,2761.0,,2032.0,10026.0,67823.0,88622.0,130075.0,202705.0,217385.0,249950.0
86, Reno,  Nevada,250998,277.9,883,39.5491,-119.8499,1362.0,3563.0,4500.0,10867.0,12016.0,18529.0,21317.0,32497.0,51470.0,72863.0,100756.0,133850.0,180480.0,225221.0,248853.0
87, Glendale,  Arizona,250702,153.1,1607,33.5331,-112.1899,,,,1000.0,2737.0,3665.0,4855.0,8179.0,15893.0,36228.0,97172.0,147864.0,218812.0,226721.0,246709.0
88, Gilbert,  Arizona,248279,176.1,1346,33.3103,-111.7431,,,,,865.0,791.0,837.0,1114.0,1833.0,1971.0,5717.0,29188.0,109697.0,208453.0,242354.0
89, Winston–Salem,  North Carolina,246328,343.2,706,36.1027,-80.2610,4194.0,10729.0,13650.0,22700.0,48395.0,75274.0,79815.0,87881.0,111135.0,133683.0,131885.0,143485.0,185776.0,229617.0,244605.0
90, North Las Vegas,  Nevada,245949,253.8,941,36.2857,-115.0939,,,,,,,3875.0,3875.0,18422.0,36216.0,42739.0,47707.0,115488.0,216961.0,249180.0
91, Norfolk,  Virginia,244076,138.0,1776,36.9230,-76.2446,21966.0,34871.0,46624.0,67452.0,115777.0,129710.0,144335.0,213513.0,305872.0,307951.0,266979.0,261229.0,234403.0,242803.0,244703.0
92, Chesapeake,  Virginia,242634,876.7,271,36.6794,-76.3018,58657.0,77038.0,50780.0,52744.0,57358.0,30082.0,35828.0,99537.0,51612.0,,,,,,240397.0
93, Garland,  Texas,242507,147.6,1592,32.9098,-96.6303,,478.0,819.0,804.0,1421.0,1584.0,2233.0,10571.0,38501.0,81437.0,138857.0,180650.0,215768.0,226876.0,238002.0
94, Irving,  Texas,242242,173.5,1373,32.8577,-96.9700,,,,,357.0,731.0,1089.0,2621.0,45985.0,97260.0,109943.0,155037.0,191615.0,216290.0,240373.0
95, Hialeah,  Florida,238942,55.7,4245,25.8699,-80.3029,,,,,,2600.0,3958.0,19676.0,66972.0,102452.0,145254.0,188004.0,226419.0,224669.0,239673.0
96, Fremont,  California,237807,200.7,1161,37.4945,-121.9412,,,,,,,,,43790.0,100869.0,131945.0,173339.0,203413.0,214089.0,234962.0
97, Boise,  Idaho,228790,212.6,1049,43.6002,-116.2317,1899.0,2311.0,5957.0,17358.0,21393.0,21544.0,26130.0,34393.0,34481.0,74990.0,102249.0,125738.0,185787.0,205671.0,226570.0
